SensorId,State,Ratio,Label,CordsLat,CordsLng
5834,ok,0.1,5834 Milano - via Senato   [ok: 1.2/10 Monossido di Carbonio 8/0/0],45.470499014097,9.19746036011253
6340,ok,"","",45.4995836904834,9.24732688950765
6610,broken,"","",45.6244564811923,9.55650435031822
6744,ok,0.1,6744 Breno   [ok: 26.7/200 Biossido di Azoto 1/0/0],45.9568305329985,10.3010583394352
6782,ok,0.1,6782 Brescia - via Turati   [ok: 1.2/10 Monossido di Carbonio 8/0/0],45.539529434956,10.2317859074772
6859,broken,0.8,6859 Rezzato   [broken: 32.2/40 Biossido di Azoto 94/1/8671],45.5157082948446,10.3362404229965
5572,ok,0.2,5572 Sondrio - via Mazzini   [ok: 32.4/200 Biossido di Azoto 1/0/0],46.1679668122783,9.87014407497457
6388,air pollution,3.0,6388 Busto Arsizio - via Magenta   [air pollution: 59.6/20 Ossidi di Azoto 3/0/0],45.6107360400126,8.85011575209207
6885,broken,0.7,6885 Porto Mantovano   [broken: 26.0/40 Biossido di Azoto 96/0/8670],45.1955400901703,10.7972622986903
9739,broken,"","",45.1593728023411,9.69814824935254
9798,ok,0.1,9798 Mantova - S.Agnese   [ok: 0.7/10 Monossido di Carbonio 8/0/0],45.1605683301058,10.7955641137079
5566,broken,1.3,5566 Fino Mornasco   [broken: 50.9/40 Biossido di Azoto 96/0/8670],45.7480444095457,9.04259284418394
5609,ok,0.2,5609 S.Giuliano Milanese   [ok: 42.4/200 Biossido di Azoto 1/0/0],45.3961946255272,9.28270007555784
5691,ok,0.0,5691 Codogno - via Trento   [ok: 0.8/125 Biossido di Zolfo 24/0/0],45.1593728023411,9.69814824935254
5950,broken,0.6,5950 Corte de Cortesi   [broken: 23.0/40 Biossido di Azoto 96/0/8670],45.2784875547884,10.0062023912043
6951,broken,"","",45.5400578469714,10.2228184492742
9969,broken,1.0,9969 Valmadrera   [broken: 40.6/40 Biossido di Azoto 96/0/8670],45.8422072610225,9.35165816612796
10286,broken,0.8,10286 Lecco - Via Sora   [broken: 30.5/40 Biossido di Azoto 96/0/8670],45.8637488412797,9.39995034468185
12611,broken,0.5,12611 Magenta   [broken: 0.5/1 Benzo(a)pirene 1/0/8765],45.4624157911066,8.88021043312557
5539,ok,0.2,5539 Arese   [ok: 39.8/200 Biossido di Azoto 1/0/0],45.5434332545016,9.08072583128464
5548,broken,0.5,5548 Motta Visconti (aria)   [broken: 18.7/40 Biossido di Azoto 96/0/8670],45.2819561974278,8.98856272679326
6706,air pollution,4.3,6706 Pavia - p.zza Minerva   [air pollution: 85.1/20 Ossidi di Azoto 3/0/0],45.1863290804948,9.14666604128678
9800,ok,0.0,9800 Mantova - Tridolino   [ok: 0.3/10 Monossido di Carbonio 8/0/0],45.1533195857856,10.8592639119623
10097,ok,0.2,10097 Borgofranco - loc. Bonizzo   [ok: 32.9/200 Biossido di Azoto 1/0/0],45.0465015381674,11.1809358191275
17297,ok,0.0,17297 Bergamo - via Meucci   [ok: 4.7/120 Ozono 8/0/0],45.6910374054721,9.64365057946139
5508,broken,0.8,5508 Legnano   [broken: 30.9/40 Biossido di Azoto 73/23/8670],45.5961339321329,8.91881399306327
5563,broken,1.0,5563 Varese - via Copelli   [broken: 39.1/40 Biossido di Azoto 96/0/8670],45.8169732332637,8.82024070715821
6356,air pollution,3.7,6356 Sesto S.Giovanni   [air pollution: 74.8/20 Ossidi di Azoto 3/0/0],45.5347657650922,9.23610792341164
6859,ok,0.2,6859 Rezzato   [ok: 32.7/200 Biossido di Azoto 1/0/0],45.5157082948446,10.3362404229965
12684,broken,0.1,12684 Soresina   [broken: 2.1/20 Nikel 1/0/8765],45.2839771544676,9.86339841999363
5603,broken,0.8,5603 Lodi - viale Vignati   [broken: 33.0/40 Biossido di Azoto 96/0/8670],45.3060129875238,9.48526286320174
5798,ok,0.1,5798 Como - viale Cattaneo   [ok: 1.0/10 Monossido di Carbonio 8/0/0],45.8150428601129,9.06697137484454
