SensorId,SensorType,Units,StationId,StationName,Province,City,SensorDateStart,SensorDateStop,CordsLat,CordsLng
10399,Particelle sospese PM2.5,µg/m³,583,Bergamo - via Meucci,BG,Bergamo,20/12/2008,,45.6910374054721,9.64365057946139
5846,Monossido di Carbonio,mg/m³,570,Tirano - viale Italia,SO,Tirano,30/05/1996,01/01/2017,46.2177462143941,10.1564702321463
9740,PM10 SM2005,µg/m³,604,Tavazzano,LO,Tavazzano con Villavesco,05/04/2005,,45.3303610018123,9.41464472662726
10025,Ozono,µg/m³,685,Calusco d' Adda,BG,Calusco d'Adda,30/06/2006,,45.6904290785451,9.48426092764779
5824,Monossido di Carbonio,mg/m³,541,Limbiate,MB,Limbiate,23/11/1994,01/07/2011,45.5974434982303,9.12594894247239
6642,Particolato Totale Sospeso,µg/m³,542,Meda,MB,Meda,01/11/1995,04/02/1998,45.6617621918917,9.1566439845516
10505,Ossidi di Azoto,µg/m³,1269,Dalmine - via Verdi,BG,Dalmine,12/02/2010,,45.6497025123625,9.60122333878526
5519,Biossido di Azoto,µg/m³,516,Robecchetto,MI,Robecchetto con Induno,07/12/1992,01/01/2017,45.5178221900884,8.76656210924496
5989,Benzene,µg/m³,584,Bergamo - via Garibaldi,BG,Bergamo,02/08/1997,,45.6956803443269,9.66124914606551
6645,Particolato Totale Sospeso,µg/m³,515,Pero,MI,Pero,08/05/1991,13/10/2005,45.5098522667925,9.08997202033733
6775,Biossido di Azoto,µg/m³,651,Brescia - via Triumplina $,BS,Brescia,15/01/1999,19/10/2005,45.571585522612,10.2314869130289
10258,Ammoniaca,µg/m³,626,Corte de Cortesi,CR,Corte de' Cortesi con Cignone,22/11/2006,,45.2784875547884,10.0062023912043
10451,Ossidi di Azoto,µg/m³,1265,Lodi - S. Alberto,LO,Lodi,03/08/2009,,45.3027835030958,9.49527369692632
6083,Benzene,µg/m³,559,Somma Lombardo - MXP,VA,Somma Lombardo,21/03/2000,01/01/2017,45.6495371272924,8.71269145828479
17163,Benzene,µg/m³,655,Darfo (aria),BS,Darfo Boario Terme,05/10/2012,,45.8746021098904,10.1773568089814
5531,Biossido di Azoto,µg/m³,528,Milano - Verziere,MI,Milano,24/11/1988,,45.4633467406666,9.19532480766886
10259,Benzene,µg/m³,569,Sondrio - via Mazzini,SO,Sondrio,19/09/2006,,46.1679668122783,9.87014407497457
10001,Ossidi di Azoto,µg/m³,683,Cassano d'Adda 2 - Via Milano,MI,Cassano d'Adda,17/02/2006,,45.526472545851,9.5159804836271
6206,Ossidi di Azoto,µg/m³,593,Ciserano,BG,Ciserano,30/11/1994,01/01/2017,45.5915484295005,9.60612773157576
5669,Biossido di Zolfo,µg/m³,583,Bergamo - via Meucci,BG,Bergamo,01/06/1989,03/06/2003,45.6910374054721,9.64365057946139
10349,Particelle sospese PM2.5,µg/m³,527,Castano Primo,MI,Castano Primo,03/03/2007,01/01/2017,45.545942683674,8.77610458437027
6934,PM10 SM2005,µg/m³,591,Seriate,BG,Seriate,28/01/2000,12/08/2003,45.6863560643991,9.71494791763153
6789,Monossido di Carbonio,mg/m³,653,Brescia - via Ziziola,BS,Brescia,15/10/1997,01/01/2017,45.5145591905673,10.2184635028013
6390,Ossidi di Azoto,µg/m³,556,Gallarate - P.zza S.Lorenzo,VA,Gallarate,26/06/1991,01/01/2017,45.6574598250304,8.79757083283147
5593,Biossido di Azoto,µg/m³,590,Ponte S.Pietro,BG,Ponte San Pietro,04/07/1990,26/05/2013,45.6960819384635,9.58778401827927
6428,Ossidi di Azoto,µg/m³,633,Soresina,CR,Soresina,01/01/2002,,45.2839771544676,9.86339841999363
5746,Ozono,µg/m³,557,Lonate Pozzolo,VA,Lonate Pozzolo,13/12/1996,17/08/2005,45.5940235171086,8.7407965765392
10586,Particelle sospese PM2.5,µg/m³,677,Cremona - Via Fatebenefratelli,CR,Cremona,28/07/2010,,45.142540632217,10.0438361583694
5580,Biossido di Azoto,µg/m³,577,Calolziocorte,LC,Calolziocorte,28/11/1994,01/01/2017,45.8020955051409,9.42946732027788
10450,Particelle sospese PM2.5,µg/m³,655,Darfo (aria),BS,Darfo Boario Terme,23/12/2008,,45.8746021098904,10.1773568089814
17126,Benzene,µg/m³,705,Milano - Pascal Città Studi,MI,Milano,13/09/2012,,45.4789960616874,9.2354910384975
5950,Biossido di Azoto,µg/m³,626,Corte de Cortesi,CR,Corte de' Cortesi con Cignone,17/05/1996,,45.2784875547884,10.0062023912043
